Food_Name;Energi;Protein;Karbohidrat_total;Lemak_total
Sambal cuk ikan roa asap;220;4;39;20
Sambal cuk korek bebek madura;170;2;14;14
Sambal cuk original cabe;160;1;59;13
Sambal Terasi Kokita;30;1;21;1
Samyang buldak cheese;550;13;29;18
Samyang Buldak extra hot;530;12;30;16
Samyang buldak stew;540;10;30;16
san remo pasta sauce bolognese mushroom;77;2.1;33;3.6
san remo pasta sauce spaghetti (mentah;457;15;42;2.5
san remo pasta sauce spinach fettuccine(mentah;457;15;33;2.5
san remo pasta sauce wholemeal (mentah;452;19;45;4
san remo sauce napolitana;72;1.4;46;3.5
san remo sauce tomato basil;96;2;49;4.6
Sarden ABC saus tomat;100;12;0;2
Sarden maya sardines saus tomat;80;13;0;1
Sarimi isi 2 ayam bawang;510;13;0;20
Sarimi isi tongseng ayam;560;11;0;23
Sariroti roti isi cokelat;240;5;29;8
Sariroti roti isi cokelat keju;230;6;29;9
Sariroti roti krim cokelat;220;4;16;8
Sariroti roti krim keju;210;5;35;7
Sariroti roti tawar double soft;140;4;35;3
Sariroti roti tawar gandum;190;6;3;3.5
Sariroti Sandwich kacang;140;5;14;6
Sariroti Sandwich pandan sarikaya;110;2;5;2.5
sariwangi Caramel milk tea;100;1;5;3
Sate Ayam;225;19.54;2;14.82
Saus Black bean;15;0;63.88;0.5
Saus Black pepper;25;0;63.88;0.5
Saus Char siu (chinese BBQ;60;0;17;0
Saus Curry;70;1;9;4.5
Saus Hoisin;100;1;2.8;0.5
Saus sambal;27;0;18;0
Saus sambal ABC;28;0;44.4;0
Saus Teriyaki;15;0;4.4;0
Saus tomat;17;0.18;20;0.02
Sayur katuk;252;4.72;21.3;1.28
Sedaap Tasty bakmi ayam;590;15;21.3;22
Sedaap Tasty bakmi ayam geprek matah;190;14;21.3;21
Selai kacang skippy chunky;210;7;73;17
Selai Nutella;200;2;77;12
Selai Skippy Chunky;210;7;80;17
Selai Smucker's Blueberry;50;0;76;0
Selai Smucker's Strawberry;50;0;76;0
Selamat wafer;160;2;18.1;8
Sereal Great Gains Crunchy Pecan;210;5;5.3;6
Sereal Great Grains Banana nut crunch;230;6;27.14;4.5
Sereal Great Grains Raisins, Dates & Pecans;210;4;28;4
Sereal Weet - Bix bites Cruncy  honey;169;4.1;1;0.8
Sereal Weet - Bix bites wild berry;157;4.2;12;0.5
Sereal Weet- Bix bites Apricot;154;4;9;0.6
Sirup Sunquick Exotic;45;0;7;0
Sirup Sunquick Mango;45;0;15;0
Sirup Sunquick Orange;45;0;15.8;0
Sirup Tropicana sirup cocopandan;5;0;16;0
Sirup Tropicana sirup lychee;5;0;8.66;0
Sirup Tropicana sirup slim sirup orange;5;0;20;0
Siu-Mai;61;3.2;3;3.8
Slim & fit cookies;90;1;19;4
Snickers;175;3.5;15;8.75
Snow skin lotus paste mooncake;187;2.12;17;8.04
So good Almond milk original;74;1.4;13;3.4
So you minuman kedelai;100;4;18;2.5
Soboro Bread;300;7;44;7
Sohun superindo (mentah;169;0;40;0
Soju;143;0.45;43.3;0
Soyjoy;150;5;63.4;9
Soyjoy cokelat;160;5;56.5;10
Soylicious sweetened;70;7;76.8;3.5
Spring Roll;150;4;62.4;11
Sprite (kaleng;100;0;86.9;0
Starbucks Almond croissant;420;10;20.1;22
Starbucks Banana nut bread;420;6;31.2;22
Starbucks butter croissant;260;5;19;15
Starbucks caffe americano;15;1;30.2;0
Starbucks cappuccino (nonfat milk;80;8;28.3;0
Starbucks cappuccino (wholemilk;140;7;24.9;7
Starbucks Cheese bagels;290;11;18.6;3.5
Starbucks chocolate croissant;340;5;17.4;20
Starbucks Cinnamon Roll;420;8;50.7;13
Starbucks Espresso Brownie;370;4;83.3;21
Starbucks green tea frappuccino (whole milk + whipped;430;6;25.1;16
Starbucks green tea frappuccino (whole milk;320;5;20.9;4.5
Starbucks hot caffe latte (notfat milk;130;13;13.6;0
Starbucks hot caffe mocha (notfat milk + whipped;320;14;20.1;10
Starbucks hot caffe mocha (notfat milk;250;13;71.4;2.5
Starbucks hot caffe mocha (whole milk + whipped;400;13;66.1;19
Starbucks hot caffe mocha (whole milk;330;13;66.9;12
Starbucks hot caramel macchiato (nonfat milk;200;11;10;1.5
Starbucks hot caramel macchiato (wholemilk;280;10;13;11
Starbucks iced caffe latte (notfat milk;90;8;9;0
Starbucks iced caffe latte (wholemilk;120;8;7;7
Starbucks Iced caffe mocha (notfat milk + whipped;320;10;10;14
Starbucks Iced caffe mocha (notfat milk;200;9;9;2.5
Starbucks iced caffe mocha (whole milk + whipped;360;9;1.79;19
Starbucks iced caffe mocha (whole milk;250;9;23;8
Starbucks java chip frappuccino (wholemilk;350;7;5;5
Starbucks java chip frappuccino (wholemilk+whipped;470;6;85;18
Starbucks Vanilla Sweet Cream Cold Brew;200;1;84;11
Steamed Beancurd Sheet Roll;150;6.2;69;12
Steamed Chicken Bun;120;3.9;8.6;3.1
Steamed Chicken Feet With Black Bean Sauce;200;15;90;13
Steamed Dumpling, Chiu Chow Style;92;1.9;89;3.5
Steamed Egg Custard Bun;120;2;78;3
Steamed Glutinous Rice Roll;260;4.9;8.6;6.3
Sticky Rice Wrapped in Lotus Leaf;710;26;7.6;23
Subway black forest ham sandwich;290;18;5.6;4.5
Subway classic tuna sandwich;470;20;0;25
Subway spicy italian sandwich;470;19;84.7;24
Subway steak and cheese sandwich;360;24;24.5;10
Subway sweet onion chicken teriyaki sandwich;370;25;59.3;4.5
Subway Turkey breast sandwich;280;18;38.6;3.5
Super bihun goreng;250;4;0.9;5
Super bihun kuah;190;4;3;3.5
Super Bubur rasa  abon sapi;190;3;0.2;4.5
super bubur rasa ayam;170;3;6;3
Supermi Extra Mie Goreng rasa Ayam pangsit;510;10;19.2;21
Sushi dragon roll;373;12;14.5;8
Sushi hand roll shrimp;90;8;1.5;2
Sushi hand roll unagi;152;9;3;6
Sushi ngiri salmon;45;3;9;2
Sushi ngiri tuna;31;4;4;1
Sushi red bull roll;484;28;3;7.5
Susu almond Australia'a Own organic;66;1.5;2;5.2
Susu Almond Natur - A almond milk unsweetened;35;1;1;3
Susu almond So good Almond Milk unsweetend;41;1.4;13;3.5
susu anlene gold plus Hi-Calsium;110;6;32;1
Susu Bear brand gold malt putih;120;4;35;1.5
Susu Bear brand gold teh putih;70;4;0;2
Susu BSN syntha-6;200;22;70;6
Susu greenfields full cream;160;8;32;9
Susu greenfields low fat;110;9;52;3
Susu greenfields skimmed milk;80;10;30;0
Susu kedelai V Soy;188;8;19;8.5
Susu kedelai V Soy Multigrain;169;6.1;21;6.9
Susu murni;62;3.32;21;3.35
Susu My protein impact whey protein;105;20;4.87;1.8
Susu On gold standard whey;120;20;20.9;1.8
Susu Slim dan fit coklat;200;15;14;3
Susu Slim dan fit vanila;200;15;7;2.5
susu tango kido rasa banana pudding;90;10;25.35;2.5
Susu tropicana slim high fiber milk cokelat;170;10;6.7;0
Susu tropicana slim high fiber milk vanilla;150;10;6;1
Susu Ultra Milk Full cream (kotak;150;8;4.66;8
Susu WRP Lose weight stroberi;220;14;8;6
Susu WRP loses weight coklat;220;14;21.6;6
Tahu bacem;24;1.9;10.6;1.47
Tango chocolate;100;1;16;4
Taro net;80;2;23;2
Teh botol sosro less sugar;90;0;29.1;0
Teh botol sosro original;140;0;24;0
Teh botol sosro tawar;0;0;10.6;0
Teh botol tawar;0;0;21.05;0
Teh frestea;160;0;45;0
Teh gelas;175;0;41;0
Teh Javana;110;0;69.2;0
Teh pucuk harum;140;0;38;0
Telur Rebus Ayam Kampung;150;13;42;10
Tempe mendoan;200;11.18;3.9;12.78
Tepung bumbu kobe bakwan & perkedel;70;2;1.4;0
Tepung bumbu kobe bumbu kalasan;70;0;1.8;0
Tepung bumbu kobe kentucky super crispy;70;2;1.3;0
Tepung bumbu kobe pisang goreng;70;1;11;0
Tepung bumbu kobe tempe goreng;70;2;5.1;0
Tepung bumbu kobe tepung bumbu;70;0;3.5;0
Tepung Panir;333;10;11;0
Terong balado;114;1.4;43;9.58
Tesona Ramuan Sari Teh;60;0;44;0
The coffe bean & tea leaf black forest ice blended drink;490;12;42;10
The coffe bean & tea leaf cramel ice blended drink;520;12;36;11
The coffe bean & tea leaf matcha ice blended drink;410;16;35;9
The coffe bean & tea leaf mocha ice blended drink;350;11;13;7
The coffe bean & tea leaf pure chocolate ice blended drink;390;15;13;7
The coffe bean & tea leaf pure vanilla ice blended drink;410;15;40;9
Tic Tic crunchy stick;90;5;36;16
Tim tam chocolate;150;2;36;7
tini mini biti;60;1;72;2.5
Tony roma's;1001;72;29;76
Tony roma's onion loaf (full, with bbq sauce;1200;23;3;23
Tony roma's potato skin;751;35;110;51
Tony roma's the original baby back ribs;563;30;46;25
TOPOKI Mujigae;410;11;43;7
Tropicana slim classic;5;0;12.2;0
Tropicana Slim DIABTX;0;0;13;0
Tropinana Slim Stevia;0;0;24.5;0
Tumis kol;45;1.3;46;2.6
Tummy yogurt blueberry redbeet;160;3;36;2.5
Tummy yogurt mango carrot;150;3;34;2
Tummy yogurt raspberry broccoli;160;4;32;2.5
Udang rebus 100 gram;138;26.5;10;2.26
Ultra Sari Asem Asli;130;0;31;0
Ultra Sari Kacang Ijo;90;2;12;0
VIT;0;0;9.9;0
Vodka;43;0.46;5.4;0
Waffle;230;4;4.3;8
Walens choco soes;140;2;30;8
Whiskey;250;0;31;0
Wine;83;0.07;9;0
WRP deli chips;210;1;25;11
WRP on the go (cokelat;150;7;17.2;3
WRP truil bar;80;1;2;3.5
Yakult;50;1;0.8;0
Yeo's Chrysantenum tea;90;0;21.4;0
Yoforia Berry smooth;130;4;2.5;2
yoghurt cimory;180;6;24.6;2
Yogurt frozen pinkberry (Besar;390;15;4;1
Yogurt frozen pinkberry (Kecil;150;6;28.2;0
Yogurt frozen pinkberry (Medium;240;9;25;0
Yogurt greek heavenly blush honey;180;5;36.4;10
Yogurt greek heavenly blush strawberrt;170;5;25.9;9
Yogurt greek yummy blueberry;140;8;0.01;3.5
Yogurt greek yummy original;140;7;0.01;4
Yogurt greek yummy strawberry;120;8;0.01;3
Yogurt mixed berry;140;4;0.01;4
Yoshinoya Beef bowl (Large bowl;1040;43;0.01;38
Yoshinoya Beef bowl (Reguler bowl;730;30;0.01;27
Yoshinoya Teriyaki (Large bowl;1140;66;0.01;25
Yoshinoya Teriyaki (Reguler bowl;790;48;0.01;18
Yoshinoya Veggie beef bowl (Large bowl;960;35;0.01;29
Yoshinoya Veggie beef bowl (Reguler bowl;650;24;0.01;20
You C100 Orange water;160;0;0.01;0
You C1000 vitamin apple;60;0;0.01;0
You C1000 vitamin lemon;700;0;0.01;0
You C1000 vitamin orange;80;0;0.01;0
