food_name,food_info
"Andewi, segar","Air 91.80 g, Energi 226.00 kkal, Protein 1.60 g, Lemak total 0.20 g, Karbohidrat total 5.30 g, Abu 1.10 g, Natrium 29.00 mg, B-Karoten 1717.00 mcg, Karoten total 0.00 mcg"
"Anggur hutan, segar","Air 92.30 g, Energi 30.00 kkal, Protein 0.50 g, Lemak total 0.20 g, Karbohidrat total 6.80 g, Abu 0.20 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 1.00 mcg"
"Angsa,daging,segar","Air 51.10 g, Energi 349.00 kkal, Protein 16.40 g, Lemak total 31.50 g, Karbohidrat total 0.00 g, Abu 1.00 g, Natrium 71.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Anlene (cokelat,"Energi 135.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 sachet, Protein 7.00 g, Karbohidrat total 21.00 g, Takaran Saji 175.00 ml, Lemak total 3.00 g"
anmum lacta minuman khusus ibu menyusui rasa cokelat,"Energi 190.00 kkal, Natrium 160.00 mg, Jumlah Sajian Per Kemasan 8.00 �, Jumlah Per Sajian 3.00 sendok makan, Protein 9.00 g, Karbohidrat total 28.00 g, Takaran Saji 46.00 g, Lemak total 4.50 g"
"Anyang, sayur","Air 76.90 g, Energi 126.00 kkal, Protein 3.40 g, Lemak total 7.90 g, Karbohidrat total 10.30 g, Abu 1.50 g, Natrium 290.00 mg, B-Karoten 3263.00 mcg, Karoten total 0.00 mcg"
"Apang kukus, kue","Air 49.50 g, Energi 202.00 kkal, Protein 3.00 g, Lemak total 0.30 g, Karbohidrat total 46.70 g, Abu 0.50 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Apel malang, segar","Air 85.90 g, Energi 57.00 kkal, Protein 0.50 g, Lemak total 0.40 g, Karbohidrat total 12.80 g, Abu 0.30 g, Natrium 3.60 mg, B-Karoten 26.00 mcg, Karoten total 2240.00 mcg"
"Apel, segar","Air 84.10 g, Energi 58.00 kkal, Protein 0.30 g, Lemak total 0.40 g, Karbohidrat total 14.90 g, Abu 0.30 g, Natrium 2.00 mg, B-Karoten 30.00 mcg, Karoten total 90.00 mcg"
"Apem, kue","Air 63.10 g, Energi 148.00 kkal, Protein 2.00 g, Lemak total 0.50 g, Karbohidrat total 33.90 g, Abu 0.50 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Apollo Layer Cake Pandan,"Energi 80.00 kkal, Natrium 30.00 mg, Jumlah Sajian Per Kemasan 1.00 , Protein 1.00 g, Karbohidrat total 11.00 g, Lemak total 3.50 g"
APOLLO milk wafer cream,"Energi 290.00 kkal, Natrium 45.00 mg, Jumlah Sajian Per Kemasan 3.00 , Jumlah Per Sajian 1.00 bungkus, Protein 2.00 g, Karbohidrat total 22.00 g, Takaran Saji 48.00 g, Lemak total 22.00 g"
Apricot,"Energi 241.00 kkal, Lemak total 0.51 g, Protein 3.39 g, Karbohidrat total 62.64 g, Karbohidrat total 62.64 g"
Aqua,"Energi 0.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 botol, Protein 0.00 g, Karbohidrat total 0.00 g, Takaran Saji 600.00 ml, Lemak total 0.00 g"
"Arbai, segar","Air 89.90 g, Energi 37.00 kkal, Protein 0.80 g, Lemak total 0.50 g, Karbohidrat total 8.30 g, Abu 0.50 g, Natrium 1.95 mg, B-Karoten 2.00 mcg, Karoten total 60.00 mcg"
"Ares,sayur","Air 77.70 g, Energi 113.00 kkal, Protein 0.90 g, Lemak total 7.20 g, Karbohidrat total 11.20 g, Abu 3.00 g, Natrium 1413.00 mg, B-Karoten 6.00 mcg, Karoten total 0.00 mcg"
"Arrowroot, segar","Air 73.50 g, Energi 102.00 kkal, Protein 1.00 g, Lemak total 0.20 g, Karbohidrat total 24.10 g, Abu 1.20 g, Natrium 36.00 mg, B-Karoten 15.00 mcg, Karoten total 0.00 mcg"
Arwan sirsir,"Air 59.00 g, Energi 277.00 kkal, Protein 2.40 g, Lemak total 25.00 g, Karbohidrat total 10.70 g, Abu 2.90 g, Natrium 240.00 mg, B-Karoten 1578.00 mcg, Karoten total 0.00 mcg"
